index,x,y,z,color,lum,absmag,appmag,distly,distly_datetime,date
87593,-1.0473,6.8333,1.3553,1.542,0.01465,9.31,8.55,22.97,8384.05,11/24/91
10434,-4.6584,1.3887,-5.3232,1.038,0.19486,6.5,5.79,23.5,8577.5,5/15/91
43872,-2.1295,-4.4594,5.2791,1.542,0.0056,10.35,9.65,23.57,8603.05,4/19/91
71587,2.1104,5.4539,4.2934,1.609,0.0008,12.47,11.77,23.65,8632.25,3/21/91
3243,-2.0905,3.4099,-6.2977,0.991,0.21854,6.38,5.74,24.32,8876.8,7/20/90
6888,-4.2445,3.7058,-4.9008,0.946,0.34704,5.87,5.24,24.34,8884.1,7/12/90
1747,3.2767,-4.7183,-4.7829,0.603,3.23011,3.45,2.82,24.37,8895.05,7/1/90
4601,-4.3302,6.1013,-1.034,0.706,0.37864,5.78,5.17,24.62,8986.3,4/1/90
11006,-5.7663,2.9783,-3.8612,1.643,0.00267,11.16,10.55,24.62,8986.3,4/1/90
56252,2.2226,-1.1214,7.2089,1.478,0.01083,9.64,9.05,24.86,9073.9,1/4/90
96291,3.148,0.899,-6.8998,1.086,0.11584,7.07,6.48,24.9,9088.5,12/20/89
52858,3.7129,-6.207,2.5274,1.677,0.00058,12.82,12.24,24.98,9117.7,11/21/89
96360,3.0538,1.1411,-6.9621,0.095,15.61633,1.74,1.17,25.06,9146.9,10/23/89
72718,6.5882,3.0387,2.6372,1.242,0.04459,8.1,7.54,25.17,9187.05,9/12/89
77685,2.8086,6.763,2.5555,0.021,45.42471,0.58,0.03,25.29,9230.85,7/31/89
75439,6.9875,3.24,1.2027,1.542,0.00843,9.91,9.37,25.41,9274.65,6/17/89
42718,-2.4553,-5.3863,5.0993,1.609,0.00937,9.8,9.26,25.47,9296.55,5/26/89
85946,-1.3262,7.5719,2.0683,1.609,0.00299,11.04,10.54,25.95,9471.75,12/2/88
90304,4.4807,4.2126,-5.1344,1.677,0.00082,12.44,11.96,26.12,9533.8,10/1/88
19507,-7.2371,-1.466,-3.1443,0.423,2.64828,3.67,3.19,26.16,9548.4,9/16/88
